SMILES,MW,nAtom,nHet,nRing,nRot,HBA,HBD,TPSA,SlogP,logS,QED,Lipinski_rule,Pfizer_rule,GSK_rule,logP,pKa,Acidic_pKa,Basic_pKa,Caco_2_c,Caco_2,HIA,MDCK,F50,F30,F20,BBB,OATP1B1_inhibitor,OATP1B3_inhibitor,OATP2B1_inhibitor,OCT1_inhibitor,OCT2_inhibitor,BCRP_inhibitor,BSEP_inhibitor,MATE1_inhibitor,Pgp_inhibitor,Pgp_substrate,PPB,VDss,CYP1A2_inhibitor,CYP3A4_inhibitor,CYP2B6_inhibitor,CYP2C9_inhibitor,CYP2C19_inhibitor,CYP2D6_inhibitor,CYP1A2_substrate,CYP3A4_substrate,CYP2B6_substrate,CYP2C9_substrate,CYP2C19_substrate,CYP2D6_substrate,HLM,RLM,UGT_substrate,CLp_c,CLr,T50,MRT,Neurotoxicity,DILI,hERG_1uM,hERG_10uM,hERG_30uM,hERG_1_10uM,hERG_10_30uM,Respiratory_toxicity,Nephrotoxicity,Eye_corrosion,Eye_irritation,Skin_corrosion,Skin_irritation,Skin_sensitisation,ADT,Ames,Mouse_carcinogenicity_c,Mouse_carcinogenicity,Rat_carcinogenicity_c,Rat_carcinogenicity,Rodents_carcinogenicity,Micronucleus,Reproductive_toxicity,Mitochondrial_toxicity,Hemolytic_toxicity,Repeated_dose_toxicity,AOT_c,AOT,FDAMDD_c,FDAMDD,AR,ER,AR_LBD,ER_LBD,Aromatase,AhR,ARE,ATAD5,HSE,p53,PPAR,MMP,TR,GR,subcapitata_toxicity,Crustaceans_toxicity,magna_toxicity,Fish_toxicity,Fathead_minnow_toxicity,Bluegill_sunfish_toxicity,Rainbow_trout_toxicity,Sheepshead_minnow_toxicity,pyriformis_toxicity_c,pyriformis_toxicity,Honey_bee_toxicity,Colinus_virginanus_toxicity,Anas_platyrhynchos_toxicity,BCF_c,BCF,Biodegradability,Photoinduced_toxicity,Phototoxicity_Photoirritation,Photoallergy
O=C(/C=C/c1ccc(O)cc1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1OC(=O)/C=C/c1ccc(O)cc1,484.457,35,10,3,7,9,5,170.82,1.6184,-3.931486607,0.28725958,Accept,Accept,Not accept,1.279379845,4.518024921,4.33336401,7.011163235,0.003004229,-6.814001083,0.414004445,0.262110323,0.02400649,0.0474746,0.06796784,0.064987361,0.507383645,0.625130892,0.471849322,0.116539679,0.151130825,0.412671089,0.531062245,0.120174251,0.341260821,0.559126914,0.917895317,-0.476181537,0.044635892,0.023906566,0.13967824,0.12264853,0.06973698,0.0521091,0.03274072,0.176414341,0.038480915,0.036999073,0.013701555,0.02730312,0.352129698,0.430023521,0.920517623,0.794098556,0.781393111,0.436728001,0.665871739,-2.740447998,0.500648439,0.053769719,0.410250098,0.736113131,0.101954103,0.56429863,0.953812897,0.381356806,0.001954572,0.030270554,0.056543656,0.514893651,0.235226721,0.588115871,0.56363833,0.478642285,1.517970204,0.716972411,1.721034765,0.690285206,0.644598961,0.86729455,0.24851653,0.802505553,0.244023606,0.20292592,-3.342814922,0.72982806,2.27268219,0.311347961,0.205672458,0.206061721,0.173321128,0.254496038,0.071447141,0.381423175,0.050395858,0.053748596,0.129644379,0.201098785,0.149537504,0.154810637,0.415556818,0.742540777,0.419568688,0.405427694,0.66958642,0.559606612,0.399376422,0.521515608,0.404269487,0.944398224,0.829051316,0.13320519,0.046006426,0.048108146,0.031731427,0.882963538,0.136847049,0.35271275,0.320792764,0.300484538
O=C(OC[C@@]12OC1C=C[C@@H](OC(=O)c1ccccc1)[C@@H]2O)c1ccccc1,366.369,27,6,4,5,6,1,85.36,2.1373,-4.504970551,0.495745319,Accept,Accept,Accept,3.500536919,4.513457775,4.568404675,3.791345119,0.974374473,-4.477421761,0.977386594,0.833835959,0.628064692,0.759029686,0.819335639,0.947787881,0.920544207,0.962222874,0.127305955,0.28518182,0.121024124,0.289285898,0.757866979,0.042016473,0.544178903,0.043074653,0.977336884,-0.62473774,0.3093988,0.02683039,0.226903602,0.185456485,0.490542591,0.023503045,0.170392528,0.380554587,0.552588522,0.207585827,0.193580568,0.032149311,0.496147275,0.751087964,0.392086595,0.397579044,0.298066705,-0.189046711,-0.1424537,-2.988605976,0.645492852,0.02491916,0.21434024,0.725610912,0.023599332,0.495503932,0.409605443,0.647755921,0.059223559,0.466786087,0.03453001,0.353608638,0.385173947,0.360647708,0.207763493,0.369683027,0.531571925,0.440636605,0.998717189,0.425428599,0.297648728,0.641209424,0.481451243,0.316607386,0.499109298,0.293522656,-3.615446568,0.13434118,1.593766451,0.350485563,0.089456275,0.334703177,0.261805803,0.35525471,0.062807925,0.371609658,0.055493854,0.072628714,0.076741971,0.271719277,0.089994006,0.253132373,0.417223692,0.705273092,0.438433051,0.438984811,0.857708097,0.785905182,0.746625662,0.803834498,0.6668455,0.997116685,1.232746601,0.035258509,0.015617112,0.012348138,0.024623644,0.831808925,0.300111979,0.526740313,0.213967323,0.449850082
COc1cc2cc(Oc3ccc4ccc(=O)oc4c3)c(=O)oc2cc1O,352.298,26,7,4,3,7,1,99.11,3.4059,-4.230260372,0.564088375,Accept,Accept,Accept,2.510429382,7.109779835,7.126018524,2.55593276,0.861492455,-4.871353626,0.977878451,0.602137208,0.638248146,0.854306638,0.917675138,0.773321331,0.903770506,0.934599519,0.190430298,0.32844311,0.283766657,0.319895267,0.725117028,0.217967629,0.527798176,0.105988972,1.041845322,-0.449211866,0.848245978,0.529722035,0.218078151,0.599610925,0.578698277,0.14700605,0.505166411,0.336892545,0.1751156,0.307686955,0.415896237,0.079599261,0.320884466,0.634999514,0.805034995,0.433977127,0.460681587,-0.704081059,-0.699211121,-2.943628788,0.783556581,0.021203551,0.112135388,0.598159373,0.015007099,0.284007698,0.819425523,0.52930522,0.007231614,0.144648328,0.014650007,0.172705814,0.191983268,0.574206173,0.38996461,0.535448611,0.374433547,0.597207069,0.89885807,0.624768794,0.880066693,0.787925959,0.638772547,0.147684708,0.724995017,0.348158747,-3.510759354,0.33366996,1.985292435,0.50657016,0.241005138,0.47145927,0.671279252,0.634340346,0.662529171,0.559181094,0.302265614,0.165951177,0.346803516,0.304299921,0.618122935,0.317962408,0.5289011,0.885930955,0.397020727,0.412202358,0.695076644,0.655151486,0.636324644,0.697949231,0.537361979,0.991838992,1.105443954,0.034215983,0.060814824,0.038970657,0.040114634,0.485279799,0.107212842,0.696077287,0.348531425,0.665132761
O=C(/C=C/c1ccc(O)cc1)OC[C@@H]1O[C@H](OCCc2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O,446.452,32,9,3,8,9,5,145.91,0.7211,-3.482924938,0.292388093,Accept,Accept,Not accept,1.949010491,4.519453049,4.468163967,5.604425907,0.046485987,-6.040825844,0.572108328,0.28721568,0.021168262,0.04876757,0.081874669,0.172302946,0.557769239,0.693516314,0.382139117,0.15654102,0.230651423,0.417556405,0.569618404,0.141891927,0.441557378,0.586016059,0.942333817,-0.242467031,0.032214217,0.033032835,0.137030214,0.040884063,0.029913111,0.089836858,0.059430536,0.315646082,0.081334673,0.057118323,0.043629818,0.04466863,0.491303951,0.524531662,0.936350524,0.890110254,0.708088756,0.351478338,0.608152628,-2.554149628,0.457603514,0.072690427,0.215168476,0.429198623,0.066915855,0.246660039,0.965501785,0.222149819,0.003910287,0.044985346,0.18082197,0.71578598,0.491174132,0.503480077,0.281508207,0.35134396,0.638567686,0.537838042,0.481310874,0.521543264,0.569144726,0.902849436,0.205287725,0.829464436,0.327828705,0.375899643,-3.215406895,0.619349658,2.120046616,0.349451959,0.29371047,0.266565204,0.219515428,0.192244917,0.043989372,0.343087763,0.07085295,0.066080235,0.105207637,0.172099024,0.20771873,0.138042524,0.503829718,0.75044173,0.354380995,0.319999278,0.621197641,0.565599859,0.419370443,0.420453787,0.288961262,0.951984227,0.883301198,0.139693335,0.048141673,0.048048701,0.025864882,0.315639913,0.367367417,0.394565731,0.232476637,0.351379931
COc1cc2oc(=O)c(Oc3ccc4ccc(=O)oc4c3)cc2cc1O,352.298,26,7,4,3,7,1,99.11,3.4059,-4.223281384,0.564088375,Accept,Accept,Accept,2.544406414,7.213574886,7.221900463,2.767693996,0.872555375,-4.863106251,0.97748512,0.602036476,0.624831378,0.847706079,0.91365546,0.765517473,0.901564837,0.934496939,0.18734087,0.32440868,0.29063347,0.300843298,0.728007376,0.216384739,0.5400244,0.106771946,1.039476633,-0.450045079,0.831683815,0.514853776,0.21663262,0.601234853,0.592562795,0.146841958,0.517634034,0.367421627,0.186120942,0.326412022,0.442039609,0.086657822,0.340034008,0.656153142,0.80276835,0.434224695,0.454562038,-0.712662458,-0.708748341,-2.935903072,0.782146692,0.020509612,0.092969447,0.550879776,0.012914485,0.236399293,0.813387156,0.521900296,0.007277694,0.142868921,0.014718196,0.171384439,0.199146435,0.568744302,0.374714673,0.53381294,0.365478724,0.583699465,0.892202139,0.616996765,0.869452834,0.771216631,0.632016659,0.140925974,0.716979623,0.338770032,-3.551012516,0.310118943,1.912988901,0.493275404,0.239071786,0.46762985,0.664491057,0.621571541,0.641306758,0.54784888,0.281706065,0.15692611,0.326085359,0.288452834,0.613734245,0.308370769,0.518183529,0.881833732,0.39197439,0.406991124,0.691121757,0.65350616,0.63064009,0.692346692,0.528660774,0.991892934,1.106884956,0.034514401,0.060075827,0.037129283,0.039893918,0.49295187,0.104460657,0.687188327,0.34427771,0.65383327
CC(=O)O[C@H]1[C@H](OC(=O)c2ccccc2)C=C[C@@H]2O[C@@]21COC(=O)c1ccccc1,408.406,30,7,4,6,7,0,91.43,2.7081,-5.521542072,0.3140811,Accept,Accept,Not accept,4.71184063,5.299832821,5.34777689,3.47345233,0.980212212,-4.173994541,0.981315315,0.666234374,0.478875667,0.655538201,0.751770437,0.937830508,0.854094088,0.932546914,0.180804372,0.484882444,0.15965344,0.487885058,0.834387839,0.055423927,0.566704094,0.039977331,1.063910604,0.236186862,0.662649989,0.008197876,0.46942696,0.161977753,0.457589477,0.026659187,0.446371078,0.657286346,0.754176915,0.291971624,0.418274581,0.087976687,0.5279935,0.81161958,0.411684722,0.39849028,0.238828212,-0.992204726,-1.000527501,-2.674399137,0.758196175,0.100467801,0.439770758,0.819871426,0.14833352,0.721486568,0.51231426,0.695109487,0.14422375,0.706780076,0.134718612,0.595566332,0.755315125,0.25534001,0.267756402,0.303370625,0.606657982,0.395034164,0.703608274,0.395774245,0.360386848,0.572237432,0.674944222,0.214162365,0.551208854,0.17040439,-3.524172306,0.122422352,1.34400773,0.426256031,0.334552824,0.51347369,0.559427798,0.45002836,0.118454412,0.611431062,0.089991398,0.157852143,0.205219746,0.343518287,0.519927859,0.5047732,0.648455381,0.951189339,0.89154911,0.89481616,0.965987206,0.964339256,0.91065979,0.942355156,0.912028491,0.999582589,2.17890358,0.08019986,0.024829326,0.019609543,0.125927329,1.658777118,0.176456928,0.680113375,0.402901381,0.603772223
CC(=O)OC1C[C@H]2C(C)(C)OC(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=CC[C@H]3[C@@H]3COC(=O)C3)[C@]12C,470.606,34,6,5,2,6,0,78.9,4.7679,-4.12942791,0.328684579,Accept,Accept,Not accept,2.752751827,4.148858547,4.113647938,5.510314941,0.391242772,-5.368654251,0.799714863,0.710496545,0.32681933,0.42652452,0.518363595,0.670979917,0.404744655,0.740593672,0.187876984,0.254866242,0.23999548,0.333632946,0.822055459,0.078900874,0.765306413,0.405379474,0.892163038,-0.306598634,0.008095418,0.062829643,0.194954529,0.043189887,0.044634774,0.06595169,0.059185527,0.472784668,0.265066862,0.064863823,0.075761959,0.034337122,0.497868717,0.679037094,0.517802775,0.634823084,0.311590344,-0.270504385,-0.196773022,-3.27101016,0.71919632,0.124551922,0.508646429,0.842258155,0.238151535,0.722871065,0.924354732,0.461832941,0.007154066,0.020366613,0.063003451,0.583506227,0.554199517,0.576231539,0.398578197,0.591082454,2.462619543,0.723921001,3.187042713,0.772340298,0.591939986,0.922769129,0.396874219,0.81386584,0.595102608,0.499165624,-2.895246983,0.418259829,2.343833208,0.738952994,0.210724145,0.734791934,0.355076909,0.718953192,0.042918511,0.664162934,0.143246651,0.074480303,0.130368829,0.296233565,0.205133021,0.253513217,0.838744462,0.819505453,0.65383023,0.617371202,0.824244142,0.794098556,0.655352414,0.649375498,0.565005958,0.990358531,2.277238607,0.25383997,0.103498377,0.056647927,0.114854239,1.662388086,0.127467677,0.528609633,0.433352977,0.408376634
C=C1C(=O)O[C@@H]2[C@H]3C(CO)=CC(=O)C3=C(C)C[C@H](OC(=O)Cc3ccc(O)cc3)[C@@H]12,410.422,30,7,4,4,7,2,110.13,1.7821,-4.124569893,0.575072856,Accept,Accept,Not accept,2.502485275,4.023574829,4.05954504,4.337251186,0.674055457,-5.135696411,0.933683872,0.568922579,0.324830264,0.658335507,0.762433946,0.276173294,0.556300819,0.752793074,0.318322659,0.223883182,0.259509176,0.509504974,0.789694548,0.208218023,0.7175861,0.229380444,0.979527473,-0.312572509,0.205366403,0.133119211,0.200511336,0.590019464,0.319743693,0.064267226,0.487713218,0.749560893,0.25024128,0.497138053,0.590515614,0.13816838,0.431232274,0.587285757,0.754552186,0.632891536,0.521595836,-0.432609916,-0.335381627,-2.782067537,0.928524196,0.014111948,0.032817896,0.180570796,0.005592112,0.051989768,0.977769017,0.537717223,0.001679818,0.014453012,0.047701482,0.441623747,0.41963309,0.790972948,0.624546111,0.666741729,1.560882092,0.745336652,1.748744726,0.795356989,0.894576728,0.882275939,0.405285925,0.15912731,0.626250207,0.812892616,-2.731298447,0.3755683,1.531789064,0.555952251,0.438054323,0.481581688,0.523298979,0.367962271,0.255819321,0.729578614,0.301330686,0.182693183,0.508941233,0.412929803,0.578241467,0.419577599,0.779527187,0.890495539,0.46839124,0.501310647,0.609149873,0.562302828,0.423560381,0.554317653,0.444580108,0.988129377,1.332452297,0.084297799,0.06427189,0.039937045,0.057925239,0.969093204,0.050884169,0.758892834,0.552286267,0.717035532
COc1ccc(Cc2nc(NC3=NC(=O)N(C)C3=O)n(C)c2Cc2ccc(O)cc2)cc1,433.468,32,9,4,6,7,2,109.05,2.7183,-3.68214798,0.618752096,Accept,Accept,Not accept,1.790617347,7.608595848,7.948392391,6.768504143,0.108021788,-5.806485176,0.910261333,0.292794377,0.204429209,0.447863132,0.58539331,0.387599915,0.837155998,0.866906285,0.227248862,0.228526399,0.298128188,0.124023728,0.718039691,0.211617723,0.690171301,0.606241882,0.870981097,-0.31140694,0.136730239,0.576416194,0.165814698,0.509002566,0.371681988,0.10241989,0.346946537,0.477794975,0.121253327,0.198987767,0.340755433,0.2202719,0.603224277,0.774596274,0.761676073,0.649819016,0.687290072,-0.513164282,-0.43861708,-2.744318485,0.609614015,0.043763001,0.134623408,0.465292215,0.039605942,0.22404173,0.940429211,0.233847544,0.000807705,0.013617088,0.013303505,0.143260196,0.08422859,0.643321514,0.498595625,0.514623821,-0.541132569,0.416399479,0.59684509,0.578224361,0.839590669,0.84566468,0.38089627,0.265442967,0.518846452,0.298340797,-3.409343719,0.536841094,2.062752962,0.085468411,0.039793417,0.075075798,0.090441793,0.145578682,0.272436261,0.281018943,0.040634431,0.041712157,0.073098846,0.056631394,0.272631198,0.071773298,0.158540532,0.652696192,0.460154086,0.422189236,0.410540462,0.395146281,0.40980193,0.403472424,0.349652261,0.918298364,0.742854595,0.147348538,0.098335527,0.054987397,0.016245263,0.439208776,0.058271129,0.468505681,0.338664681,0.379436284
CC1(C)C=Cc2c(c3occc3c3oc(-c4ccccc4)cc(=O)c23)O1,344.366,26,4,5,1,4,0,52.58,5.3904,-6.560515404,0.464397392,Accept,Not accept,Not accept,5.557038784,4.870078564,7.339236736,3.368345976,0.828716457,-4.735507488,0.98173964,0.798905909,0.603401482,0.734482706,0.799358368,0.90277338,0.838104248,0.893846691,0.304664224,0.627668202,0.117522351,0.644799709,0.941944599,0.118988417,0.567061305,0.064144,1.0422194,0.182723194,0.832176745,0.192270786,0.685829163,0.482299834,0.71346581,0.113364331,0.766631544,0.783311903,0.79191196,0.71655184,0.721084714,0.253611892,0.264158636,0.447901577,0.22133638,0.491313845,0.514463902,-1.163436651,-1.1500144,-2.496771574,0.722705901,0.120436035,0.696990192,0.977624536,0.349869967,0.955163836,0.363339812,0.785657942,0.07846716,0.518946409,0.032545704,0.189067394,0.340434343,0.877641797,0.606076241,0.60521692,2.740574837,0.586958051,4.054684639,0.60785687,0.809282184,0.835369766,0.900732458,0.070212178,0.914117754,0.935352504,-2.066667557,0.606536031,2.157422066,0.556903958,0.709761798,0.714687288,0.821830511,0.789168596,0.693065763,0.859081686,0.223542318,0.566635609,0.755284607,0.59149313,0.943922818,0.821510732,0.764607608,0.885086834,0.973223448,0.973434746,0.982339561,0.932254314,0.969246566,0.977811217,0.974842012,0.997848153,2.06020236,0.471609771,0.293963373,0.324227124,0.411633641,2.416082382,0.033957392,0.540698051,0.391745478,0.445017189
